6407,6651,|Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje Franca Breznika v zvezi s problematiko zunanjih gostinskih teras,namenjenih kadilcem.)|,25. redna seja,,,,,,,,,,,,,,,
5968,6212,Dnevni red v celoti,4. redna seja,,,,,,,,,,,,,,,,
5993,6237,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje dr. Franca Trčka v zvezi s pomočjo socialno najbolj ogroženim prebivalcem).|,3. redna seja,,,,,,,,,,,,,,
5994,6238,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Jožefa Horvata v zvezi z obdavčitvijo čezmejnih delovnih migrantov.,3. redna seja,,,,,,,,,,,,,,,,
5995,6239,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Žana Mahniča v zvezi s sanacijo oktobrskih poplav).,3. redna seja,,,,,,,,,,,,,,,,
5996,6240,Predlog sklepa (razprava o odgovoru ministrice za zdravje Marije Milojke Kolar Celarc na poslansko vprašanje Matjaža Hanžka v zvezi z belimi napotnicami v javnem zdravstvenem sistemu).,3. redna seja,,,,,,,,,,,,,,,,
5960,6204,|Zakon o spremembah in dopolnitvah Zakona o grbu,zastavi in himni Republike Slovenije ter o slovenski narodni zastavi - Evidenčni sklep o primernosti predloga zakona 27.1.2015|,4. redna seja,,,,,,,,,,,,,,,
6289,6533,Dnevni red v celoti,28. izredna seja,,,,,,,,,,,,,,,,
5980,6224,Zakon o dopolnitvah Zakona o graditvi objektov - Evidenčni sklep MDT 17.12.2014,3. redna seja,,,,,,,,,,,,,,,,
6435,6679,Zakon o lekarniški dejavnosti - Amandma: K 39. členu 6.12.2016 [ZL - Poslanska skupina Združena levica],25. redna seja,,,,,,,,,,,,,,,,
6433,6677,Zakon o lekarniški dejavnosti - Amandma: K 39. členu 6.12.2016 [ZL - Poslanska skupina Združena levica],25. redna seja,,,,,,,,,,,,,,,,
5997,6241,Predlog sklepa (razprava o odgovoru ministrice za zdravje Marije Milojke Kolar Celarc na poslansko vprašanje Andreja Čuša v zvezi s projektom izgradnje urgentnih centrov v Sloveniji.,3. redna seja,,,,,,,,,,,,,,,,
5998,6242,|Predlog sklepa (razprava o odgovoru ministrice brez resorja,pristojne za razvoj,strateške projekte in kohezijo Alenke Smerkolj na poslansko vprašanje Zvonka Laha v zvezi s črpanjem kohezijskih sredstev).|,3. redna seja,,,,,,,,,,,,,,
5999,6243,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje mag. Anžeta Logarja v zvezi s posledicami neuspešnih vladnih varčevalnih pogajanj s sindikati).,3. redna seja,,,,,,,,,,,,,,,,
6000,6244,|Predlog sklepa (razprava o odgovoru ministrice za izobraževanje,znanost in šport dr. Stanislave Setnikar Cankar na poslansko vprašanje Ljudmile Novak v zvezi s spremembami financiranja glasbenih šol).|,3. redna seja,,,,,,,,,,,,,,,
6001,6245,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje Anje Bah Žibert v zvezi s konkretnimi ukrepi proti nasilju v družinah).,3. redna seja,,,,,,,,,,,,,,,,
6002,6246,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Tomaža Lisca v zvezi z energetskimi izkaznicami.,3. redna seja,,,,,,,,,,,,,,,,
6003,6247,Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška ter ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Luke Mesca v zvezi s problematiko Cinkarne Celje in z njo povezanim okoljskim stanjem v Celju).,3. redna seja,,,,,,,,,,,,,,,,
6004,6248,|Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar ter ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje dr. Vinka Gorenaka v zvezi z odkrivanjem in pregonom kaznivih dejanj,povezanih s slabimi krediti bank v državni lasti).|,3. redna seja,,,,,,,,,,,,,,,
6005,6249,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje Andreja Čuša v zvezi z dvojno obdavčitvijo delavcev migrantov.,3. redna seja,,,,,,,,,,,,,,,,
6006,6250,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje mag. Andreja Širclja v zvezi z ukrepi glede »agresivnega davčnega planiranja«).,3. redna seja,,,,,,,,,,,,,,,,
6007,6251,Predlog sklepa (razprava o odgovoru ministra za finance dr. Dušana Mramorja na poslansko vprašanje mag. Branka Grimsa v zvezi s politiko trošarin.,3. redna seja,,,,,,,,,,,,,,,,
6008,6252,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Miroslava Cerarja na poslansko vprašanje mag. Mateja Tonina v zvezi z uravnoteženjem javnih financ).,3. redna seja,,,,,,,,,,,,,,,,
6009,6253,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Miroslava Cerarja na poslansko vprašanje dr. Franca Trčka v zvezi s pomočjo zapostavljenim regijam).,3. redna seja,,,,,,,,,,,,,,,,
6018,6262,Zakon o spremembah in dopolnitvah Zakona o izvrševanju proračunov Republike Slovenije za leti 2014 in 2015 - Amandma: K 12. členu 16.12.2014 [SDS - Poslanska skupina Slovenske demokratske stranke],3. redna seja,,,,,,,,,,,,,,,,
6290,6534,Dnevni red v celoti,27. izredna seja,,,,,,,,,,,,,,,,
6045,6289,Devetnajsto redno poročilo o delu Varuha človekovih pravic Republike Slovenije za leto 2013 - Amandma: K PREDLOGU PRIPOROČILA 11.11.2014 [SDS - Poslanska skupina Slovenske demokratske stranke],2. redna seja,,,,,,,,,,,,,,,,
6043,6287,Devetnajsto redno poročilo o delu Varuha človekovih pravic Republike Slovenije za leto 2013 - Amandma: K PREDLOGU PRIPOROČILA 11.11.2014 [SDS - Poslanska skupina Slovenske demokratske stranke],2. redna seja,,,,,,,,,,,,,,,,
6027,6271,Dnevni red v celoti,3. redna seja,,,,,,,,,,,,,,,,
6028,6272,Širitev dnevnega reda,3. redna seja,,,,,,,,,,,,,,,,
6029,6273,Širitev dnevnega reda,3. redna seja,,,,,,,,,,,,,,,,
6049,6293,Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje dr. Vinka Gorenaka v zvezi s spoštovanjem določil zadnjega odstavka 8. Člena Zakona o sodniški službi).,2. redna seja,,,,,,,,,,,,,,,,
6050,6294,Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje Anje Bah Žibert v zvezi s konkretnimi ukrepi za vzpostavitev vladavine prava).,2. redna seja,,,,,,,,,,,,,,,,
6051,6295,Predlog sklepa (razprava o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Danijela Krivca v zvezi z izvajanjem Zakona o ukrepih za odpravo posledic žleda med 30. januarjem in 10. februarjem 2014).,2. redna seja,,,,,,,,,,,,,,,,
6035,6279,|Zakon o ratifikaciji Sporazuma med Ministrstvom za notranje zadeve Republike Slovenije in Zvezno službo Ruske federacije za nadzor nad trgovino s prepovedanimi drogami o sodelovanju v boju proti nedovoljeni trgovini s prepovedanimi drogami,psihotropnimi snovmi in njihovimi predhodnimi sestavinami - Glasovanje|,2. redna seja,,,,,,,,,,,,,,,
6052,6296,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje Mihe Kordiša v zvezi s prekernim delom in pripravništvi doma in v tujini).|,2. redna seja,,,,,,,,,,,,,,
6053,6297,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje Jelke Godec v zvezi z zaposlovanjem).|,2. redna seja,,,,,,,,,,,,,,
6054,6298,|Predlog sklepa (razprava o odgovoru ministrice za delo,družino,socialne zadeve in enake možnosti dr. Anje Kopač Mrak na poslansko vprašanje Matjaža Hanžka v zvezi s statusom zagovornika načela enakosti.|,2. redna seja,,,,,,,,,,,,,,
6055,6299,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje dr. Vinka Gorenaka v zvezi s spoštovanjem določil II. poglavja Zakona o organiziranosti in delu v policiji).,2. redna seja,,,,,,,,,,,,,,,,
6056,6300,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Danijela Krivca v zvezi z izvajanjem Zakona o Triglavskem narodnem parku).,2. redna seja,,,,,,,,,,,,,,,,
6057,6301,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Bojana Podkrajška v zvezi s težavami pri sprejemanju Občinskih prostorskih načrtov).,2. redna seja,,,,,,,,,,,,,,,,
6058,6302,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje Anje Bah Žibert v zvezi z varčevalnimi ukrepi v policiji).,2. redna seja,,,,,,,,,,,,,,,,
6034,6278,Uradno prečiščeno besedilo (Zakona o subvencioniranju študentske prehrane),2. redna seja,,,,,,,,,,,,,,,,
6059,6303,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Mihe Kordiša v zvezi z zagotavljanjem poplavne varnosti in črpanjem evropskih sredstev za zaščito pred poplavami).,2. redna seja,,,,,,,,,,,,,,,,
6060,6304,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Andreja Čuša v zvezi z Nacionalnim stanovanjskim programom).,2. redna seja,,,,,,,,,,,,,,,,
6061,6305,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Žana Mahniča v zvezi z urejanjem vodotokov).,2. redna seja,,,,,,,,,,,,,,,,
6062,6306,Predlog sklepa (razprava o o odgovoru ministra za infrastrukturo dr. Petra Gašperšiča na poslansko vprašanje Zvonka Laha v zvezi s kohezijskimi sredstvi).,2. redna seja,,,,,,,,,,,,,,,,
6063,6307,Predlog sklepa (razprava o odgovoru ministrice za zdravje Marije Milojke Kolar Celarc na poslansko vprašanje Tomaža Lisca v zvezi z urejanjem področja nujne medicinske pomoči).,2. redna seja,,,,,,,,,,,,,,,,
6064,6308,Predlog sklepa (razprava o odgovoru ministrice za okolje in prostor Irene Majcen na poslansko vprašanje Ljuba Žnidarja v zvezi z enajstimi okoljskimi projekti).,2. redna seja,,,,,,,,,,,,,,,,
6065,6309,Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje Eve Irgl v zvezi s kršitvami človekovih pravic v pravosodju).,2. redna seja,,,,,,,,,,,,,,,,
6066,6310,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Miroslava Cerarja na poslansko vprašanje Luke Meseca v zvezi s pripravami na privatizacijo DARS-a in strategijo upravljanja z državnim premoženjem).,2. redna seja,,,,,,,,,,,,,,,,
6067,6311,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Miroslava Cerarja na poslansko vprašanje Jožeta Tanka v zvezi s kadrovsko politiko).,2. redna seja,,,,,,,,,,,,,,,,
6103,6347,Dnevni red v celoti,2. redna seja,,,,,,,,,,,,,,,,
6104,6348,Širitev dnevnega reda,2. redna seja,,,,,,,,,,,,,,,,
6105,6349,Umik točke dnevnega reda,2. redna seja,,,,,,,,,,,,,,,,
6284,6528,Navzočnost,29. izredna seja,,,,,,,,,,,,,,,,
6417,6661,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje dr. Bojana Dobovška v zvezi z nadzorom nad Banko Slovenije.),25. redna seja,,,,,,,,,,,,,,,,
6416,6660,|Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Branka Grimsa glede državnih arhivov SFRJ,ki se nanašajo na Republiko Slovenijo)|,25. redna seja,,,,,,,,,,,,,,,
6413,6657,Predlog sklepa (razprava o odgovoru ministrice za zdravje Milojke Kolar Celarc na poslansko vprašanje Violete Tomić v zvezi s spremembami Uredbe o razvrstitvi prepovedanih drog),25. redna seja,,,,,,,,,,,,,,,,
6419,6663,,25. redna seja,,,,,,,,,,,,,,,,
6412,6656,|Predlog sklepa (razprava o odgovoru ministrice za finance mag. Mateje Vraničar Erman na poslansko vprašanje Anje Bah Žibert v zvezi s problematiko seznanjenosti ministrstva o dogajanju v NLB,d.d.)|,25. redna seja,,,,,,,,,,,,,,,
6409,6653,Predlog sklepa (razprava o odgovoru ministrice za finance mag. Mateje Vraničar Erman na poslansko vprašanje Jožefa Horvata v zvezi s številom naznanitev kaznivih ravnanj s strani članov upravnega odbora DUTB.),25. redna seja,,,,,,,,,,,,,,,,
6465,6709,Poročilo o delu Komisije za nadzor obveščevalnih in varnostnih služb v letu 2015 (TAJNO) - Sklep,25. redna seja,,,,,,,,,,,,,,,,
6474,6718,Zakon o spremembah in dopolnitvah Zakona o lokalni samoupravi - Amandma: K 2. členu 6.12.2016 [SDS - Poslanska skupina Slovenske demokratske stranke],25. redna seja,,,,,,,,,,,,,,,,
6473,6717,Zakon o spremembah in dopolnitvah Zakona o lokalni samoupravi - Glasovanje o zakonu v celoti,25. redna seja,,,,,,,,,,,,,,,,
6273,6517,Navzočnost,36. izredna seja,,,,,,,,,,,,,,,,
6480,6724,Predlog sklepa (razprava o odgovoru ministrice za zdravje Milojke Kolar Celarc na poslansko vprašanje Mihe Kordiša v zvezi s škodljivimi določbami Predloga zakona o lekarniški dejavnosti.),25. redna seja,,,,,,,,,,,,,,,,
6481,6725,Predlog sklepa (razprava o odgovoru ministrice za finance mag. Mateje Vraničar Erman na poslansko vprašanje Jožefa Horvata v zvezi s številom naznanitev kaznivih ravnanj s strani članov upravnega odbora DUTB.),25. redna seja,,,,,,,,,,,,,,,,
6482,6726,Predlog sklepa (razprava o odgovoru ministrice za zdravje Milojke Kolar Celarc na poslansko vprašanje Jelke Godec v zvezi s sklepom Ministrstva za zdravje.),25. redna seja,,,,,,,,,,,,,,,,
6296,6540,Odlok o razpisu zakonodajnega referenduma o Zakonu o spremembah in dopolnitvah Zakona o zakonski zvezi in družinskih razmerjih - Glasovanje,23. izredna seja,,,,,,,,,,,,,,,,
6310,6554,Sklep o imenovanju predsednika Odbora za obrambo - Glasovanje o širitvi dnevnega reda,20. izredna seja,,,,,,,,,,,,,,,,
6268,6512,Proceduralni predlog za prekinitev 1. točke dnevnega reda,1. redna seja,,,,,,,,,,,,,,,,
6295,6539,Sklep o zavrnitvi razpisa zakonodajnega referenduma o Zakonu o dopolnitvi Zakona o obrambi - Glasovanje o aktu v celoti,23. izredna seja,,,,,,,,,,,,,,,,
6322,6566,Dnevni red v celoti,16. izredna seja,,,,,,,,,,,,,,,,
6326,6570,Dnevni red v celoti,15. izredna seja,,,,,,,,,,,,,,,,
6328,6572,Dnevni red v celoti,14. izredna seja,,,,,,,,,,,,,,,,
6329,6573,Širitev dnevnega reda,14. izredna seja,,,,,,,,,,,,,,,,
6334,6578,Dnevni red v celoti,13. izredna seja,,,,,,,,,,,,,,,,
6337,6581,Dnevni red v celoti,12. izredna seja,,,,,,,,,,,,,,,,
6341,6585,Dnevni red v celoti,11. izredna seja,,,,,,,,,,,,,,,,
6343,6587,Dnevni red v celoti,10. izredna seja,,,,,,,,,,,,,,,,
6344,6588,Širitev dnevnega reda,10. izredna seja,,,,,,,,,,,,,,,,
6346,6590,Dnevni red v celoti,8. izredna seja,,,,,,,,,,,,,,,,
6358,6602,Širitev dnevnega reda,7. izredna seja,,,,,,,,,,,,,,,,
6359,6603,Dnevni red v celoti,6. izredna seja,,,,,,,,,,,,,,,,
6357,6601,Dnevni red v celoti,7. izredna seja,,,,,,,,,,,,,,,,
6325,6569,Predlog priporočila v zvezi z izvajanjem službe nujne medicinske pomoči v Republiki Sloveniji - Amandma: 2. točka 5.6.2015 [SDS - Poslanska skupina Slovenske demokratske stranke],15. izredna seja,,,,,,,,,,,,,,,,
6321,6565,Proceduralni predlog na podlagi petega odstavka 67. člena Poslovnika Državnega zbora (vsak govornik razpravlja le enkrat),16. izredna seja,,,,,,,,,,,,,,,,
6323,6567,Predlog za širitev dnevnega reda,16. izredna seja,,,,,,,,,,,,,,,,
6330,6574,Lista kandidatk za ministrici - Glasovanje o listi kandidatov za ministre,13. izredna seja,,,,,,,,,,,,,,,,
6332,6576,Zakon o ratifikaciji Pridružitvenega sporazuma med Evropsko unijo in Evropsko skupnostjo za atomsko energijo in njunimi državami članicami na eni strani ter Gruzijo na drugi strani - Glasovanje,13. izredna seja,,,,,,,,,,,,,,,,
6333,6577,Zakon o ratifikaciji Pridružitvenega sporazuma med Evropsko unijo in Evropsko skupnostjo za atomsko energijo in njunimi državami članicami na eni strani ter Republiko Moldavijo na drugi strani - Glasovanje,13. izredna seja,,,,,,,,,,,,,,,,
6356,6600,Proceduralni predlog za omejitev razprave - peti odstavek 67. člena Poslovnika Državnega zbora,7. izredna seja,,,,,,,,,,,,,,,,
6374,6618,Dnevni red v celoti,4. izredna seja,,,,,,,,,,,,,,,,
6383,6627,Dnevni red v celoti,3. izredna seja,,,,,,,,,,,,,,,,
6315,6559,Dnevni red v celoti,17. izredna seja,,,,,,,,,,,,,,,,
6364,6608,Dnevni red v celoti,5. izredna seja,,,,,,,,,,,,,,,,
6395,6639,Dnevni red v celoti,1. izredna seja,,,,,,,,,,,,,,,,
6375,6619,Predlog sklepa (Umik 3f. točke iz dnevnega reda 4. izredne seje),4. izredna seja,,,,,,,,,,,,,,,,
6485,6729,Predlog sklepa (razprava o odgovoru ministrice za zdravje Milojke Kolar Celarc na poslansko vprašanje Violete Tomić v zvezi s spremembami Uredbe o razvrstitvi prepovedanih drog),25. redna seja,,,,,,,,,,,,,,,,
6486,6730,Predlog sklepa (razprava o odgovoru ministrice za notranje zadeve mag. Vesne Györkös Žnidar na poslansko vprašanje dr. Vinka Gorenaka v zvezi s pripravami Republike Slovenije na morebiten nov migrantski val.),25. redna seja,,,,,,,,,,,,,,,,
6487,6731,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Luke Mesca v zvezi z negativnimi posledicami privatizacij podjetij v državni lasti v luči zadnjih dogajanj s podjetjem Helios.),25. redna seja,,,,,,,,,,,,,,,,
6488,6732,|Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Branka Grimsa glede državnih arhivov SFRJ,ki se nanašajo na Republiko Slovenijo)|,25. redna seja,,,,,,,,,,,,,,,
6489,6733,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje dr. Bojana Dobovška v zvezi z nadzorom nad Banko Slovenije.),25. redna seja,,,,,,,,,,,,,,,,
6490,6734,|Predlog za imenovanje viceguvernerja,člana Sveta Banke Slovenije - Glasovanje o sestavi komisije za tajno glasovanje|,25. redna seja,,,,,,,,,,,,,,,
6492,6736,Zakon o pomoči za reševanje in prestrukturiranje gospodarskih družb in zadrug v težavah - Amandma: K 27. členu 8.12.2016 [SMC - Poslanska skupina Stranke modernega centra],25. redna seja,,,,,,,,,,,,,,,,
6493,6737,Zakon o pomoči za reševanje in prestrukturiranje gospodarskih družb in zadrug v težavah - Amandma: K 24. členu 8.12.2016 [SMC - Poslanska skupina Stranke modernega centra],25. redna seja,,,,,,,,,,,,,,,,
6494,6738,Zakon o pomoči za reševanje in prestrukturiranje gospodarskih družb in zadrug v težavah - Amandma: K 8. členu 8.12.2016 [SMC - Poslanska skupina Stranke modernega centra],25. redna seja,,,,,,,,,,,,,,,,
6370,6614,Predlog za imenovanje namestnika varuhinje človekovih pravic - Glasovanje,4. izredna seja,,,,,,,,,,,,,,,,
6279,6523,Dnevni red v celoti,32. izredna seja,,,,,,,,,,,,,,,,
6281,6525,Dnevni red v celoti,31. izredna seja,,,,,,,,,,,,,,,,
6389,6633,Dnevni red v celoti,2. izredna seja,,,,,,,,,,,,,,,,
6276,6520,Dnevni red v celoti,34. izredna seja,,,,,,,,,,,,,,,,
6339,6583,|Predlog sklepa o nedopustnosti razpisa zakonodajnega referenduma o Zakonu o spremembah in dopolnitvah Zakona o zakonski zvezi in družinskih razmerjih (ZZZDR-D),EPA 257-VII - Amandma: K II. točki 26.3.2015 [SDS - Poslanska skupina Slovenske demokratske stranke]|,11. izredna seja,,,,,,,,,,,,,,,
6365,6609,|Sklep o razrešitvi in imenovanju predsednice Odbora za pravosodje,podpredsednika Odbora za izobraževanje,znanost,šport in mladino in  podpredsednice Odbora za kulturo ter imenovanju podpredsednice Odbora za zunanjo politiko in predsednika in podpredsednice Odbora za delo,družino,socialne zadeve in invalide - Sklep|,4. izredna seja,,,,,,,,,,,
6387,6631,Proceduralni predlog - na podlagi 5. odstavka 67. člena Poslovnika lahko vsak poslanec razpravlja samo enkrat,2. izredna seja,,,,,,,,,,,,,,,,
6275,6519,Dnevni red v celoti,35. izredna seja,,,,,,,,,,,,,,,,
4772,5016,Sklep o spremembi Sklepa o imenovanju članov Sveta Fundacije za financiranje športnih organizacij v Republiki Sloveniji - Glasovanje,19. redna seja,,,,,,,,,,,,,,,,
4873,5117,|Zakon o spremembah in dopolnitvah Zakona o finančnem poslovanju,postopkih zaradi insolventnosti in prisilnem prenehanju - Amandma: K 1. členu 31.3.2016 [ZL - Poslanska skupina Združena levica]|,17. redna seja,,,,,,,,,,,,,,,
6278,6522,Dnevni red v celoti,33. izredna seja,,,,,,,,,,,,,,,,
6280,6524,|Proceduralni predlog (na podlagi 107. člena Ustave RS,da predsednik Republike Slovenije v roku 3 dni izreče mnenje o stanju pirpravljenosti Slovenske Vojske).|,31. izredna seja,,,,,,,,,,,,,,,
4926,5170,Proceduralni predlog (pol urna prekinitev obravnave),16. redna seja,,,,,,,,,,,,,,,,
4927,5171,Proceduralni predlog (prekinitev in pridobitev mnenja ZPS po tretjem odstavku 37. člena.),16. redna seja,,,,,,,,,,,,,,,,
4929,5173,Razveljavitev Proceduralnega predloga na podlagi petega odstavka 67. člena Poslovnika Državnega zbora (vsak govornik razpravlja le enkrat) - druga nesklepčnost,16. redna seja,,,,,,,,,,,,,,,,
4930,5174,Ravzeljavitev Proceduralnega predloga na podlagi petega odstavka 67. člena Poslovnika Državnega zbora (vsak govornik razpravlja le enkrat) - prva nesklepčnost,16. redna seja,,,,,,,,,,,,,,,,
4931,5175,Proceduralni predlog na podlagi petega odstavka 67. člena Poslovnika Državnega zbora (vsak govornik razpravlja le enkrat),16. redna seja,,,,,,,,,,,,,,,,
4932,5176,|Sklep o spremembah Sklepa o sestavi in imenovanju predsednika,podpredsednika,članov in namestnikov članov Preiskovalne komisije o ugotavljanju zlorab v slovenskem bančnem sistemu ter ugotavljanju vzrokov in odgovornosti za že drugo sanacijo bančnega sistema v samostojni Sloveniji - Glasovanje|,16. redna seja,,,,,,,,,,,,,,
5376,5620,Dvajseto redno poročilo o delu Varuha človekovih pravic Republike Slovenije za leto 2014 s predlogom priporočila - Amandma (za novo poglavje 2.10 – Delovna razmerja): K PREDLOGU PRIPOROČILA 13.10.2015 [ZL - Poslanska skupina Združena levica],12. redna seja,,,,,,,,,,,,,,,,
5040,5284,Priporočilo Vladi Republike Slovenije za povečanje stopnje transparentnosti in demokratičnosti njenega delovanja in delovanja ministrstev - Glasovanje o aktu v celoti,14. redna seja,,,,,,,,,,,,,,,,
6513,6757,Dnevni red v celoti,25. redna seja,,,,,,,,,,,,,,,,
6504,6748,Zakon o lekarniški dejavnosti - Amandma: K 52. členu 6.12.2016 [ZL - Poslanska skupina Združena levica],25. redna seja,,,,,,,,,,,,,,,,
5382,5626,Dvajseto redno poročilo o delu Varuha človekovih pravic Republike Slovenije za leto 2014 s predlogom priporočila - Amandma (za novo poglavje 2.1 – Ustavne pravice): K PREDLOGU PRIPOROČILA 13.10.2015 [ZL - Poslanska skupina Združena levica],12. redna seja,,,,,,,,,,,,,,,,
5380,5624,Dvajseto redno poročilo o delu Varuha človekovih pravic Republike Slovenije za leto 2014 s predlogom priporočila - Amandma (za novo poglavje 2.4 – Pravosodje): K PREDLOGU PRIPOROČILA 13.10.2015 [ZL - Poslanska skupina Združena levica],12. redna seja,,,,,,,,,,,,,,,,
6442,6686,|Zahteva Okrožnega sodišča v Mariboru,Preiskovalni oddelek za dovoljenje Državnega zbora za začetek kazenskega postopka zoper poslanko mag. Bojano Muršič - Glasovanje|,25. redna seja,,,,,,,,,,,,,,,
6479,6723,|Predlog sklepa (razprava o odgovoru ministra za gospodarski razvoj in tehnologijo Zdravka Počivalška na poslansko vprašanje Franca Breznika v zvezi s problematiko zunanjih gostinskih teras,namenjenih kadilcem.)|,25. redna seja,,,,,,,,,,,,,,,
6515,6759,Dnevni red v celoti,41. izredna seja,,,,,,,,,,,,,,,,
5584,5828,|Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje Anje Bah Žibert v zvezi z uresničevanjem priporočil,ki jih je v pregledu stanja na področju pravosodja v Evropski uniji za Republiko Slovenijo za leto 2015 dala Evropska unija)|,10. redna seja,,,,,,,,,,,,,,,
5585,5829,Predlog sklepa (razprava o odgovoru generalnega sekretarja Vlade mag. Darka Krašovca na poslansko vprašanje Mihe Kordiša v zvezi z državno pomočjo Novi ljubljanski banki),10. redna seja,,,,,,,,,,,,,,,,
5590,5834,Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje Andreja Čuša v zvezi z zagotavljanjem načela enakosti državljank in državljanov ter njihovih ustavnih pravic v primeru odškodninskih tožb),10. redna seja,,,,,,,,,,,,,,,,
5378,5622,Dvajseto redno poročilo o delu Varuha človekovih pravic Republike Slovenije za leto 2014 s predlogom priporočila - Amandma (za novo poglavje 2.6 – Upravne zadeve): K PREDLOGU PRIPOROČILA 13.10.2015 [ZL - Poslanska skupina Združena levica],12. redna seja,,,,,,,,,,,,,,,,
5589,5833,|Predlog sklepa (razprava o odgovoru ministra za kmetijstvo,gozdarstvo in prehrano mag. Dejana Židana na poslansko vprašanje Violete Tomić v zvezi s kobilarno Lipica in družbo Lipica Turizem,d.o.o.)|,10. redna seja,,,,,,,,,,,,,,
5592,5836,Predlog sklepa (razprava o odgovoru ministrice za zdravje Marije Milojke Kolar Celarc ter ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje Jerneja Vrtovca v zvezi s pregonom korupcije v zdravstvenem sistemu),10. redna seja,,,,,,,,,,,,,,,,
5594,5838,|Predlog sklepa (razprava o odgovoru ministra za pravosodje mag. Gorana Klemenčiča na poslansko vprašanje dr. Vinka Gorenaka v zvezi s postopki Ministrstva za pravosodje po objavi poročila Komisije za preprečevanje korupcije,vezanega na koruptivno ravnanje generalnega državnega tožilca)|,10. redna seja,,,,,,,,,,,,,,,
5595,5839,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje mag. Mateja Tonina v zvezi z davčnim sistemom),10. redna seja,,,,,,,,,,,,,,,,
5596,5840,Predlog sklepa (razprava o odgovoru predsednika Vlade dr. Mira Cerarja na poslansko vprašanje Luke Mesca v zvezi z napovedano ukinitvijo 50-odstotnega dohodninskega razreda),10. redna seja,,,,,,,,,,,,,,,,
